epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.5572,2.10838,4.14436,2.44666,0,0,0,0,nan,nan,nan,0.00325758,0.00325758,0.0706818
2,70.825,2.12828,2.94463,2.55367,0,0,0,0,nan,nan,nan,0.00652566,0.00652566,0.0406166
3,90.6303,2.00647,2.74742,2.39257,0.01492,0.08955,0.00362,0.00091,nan,nan,nan,0.00972774,0.00972774,0.0104853
4,109.01,1.90299,2.72335,2.31449,0,0,0,0,nan,nan,nan,0.009703,0.009703,0.009703
5,127.673,1.76069,2.48096,2.18666,0.10344,0.21393,0.0808,0.03133,1.83843,35.7215,2.68138,0.009604,0.009604,0.009604
6,147.37,1.78133,2.33846,2.17225,0.25016,0.38806,0.20157,0.08371,1.95592,25.5379,2.64206,0.009505,0.009505,0.009505
7,166.535,1.73411,2.31768,2.11535,0.36645,0.37123,0.30952,0.14702,1.67859,5.86483,2.20627,0.009406,0.009406,0.009406
8,185.576,1.71701,2.29483,2.07457,0.2376,0.40796,0.2391,0.12263,1.59314,6.10594,2.0824,0.009307,0.009307,0.009307
9,204.284,1.65305,2.17573,2.0151,0.45159,0.48751,0.3704,0.18618,1.6283,5.21002,2.20449,0.009208,0.009208,0.009208
10,224.269,1.66533,2.14738,2.02615,0.36601,0.38806,0.28154,0.1308,1.76434,3.73069,2.29232,0.009109,0.009109,0.009109
11,242.158,1.57149,2.06335,1.93683,0.52049,0.45771,0.43527,0.23387,1.5706,4.06171,2.08227,0.00901,0.00901,0.00901
12,261.301,1.56525,2.06413,1.91728,0.46511,0.44126,0.40536,0.19416,1.75632,2.39199,2.29269,0.008911,0.008911,0.008911
13,281.79,1.56976,2.07041,1.92868,0.50199,0.48756,0.41068,0.23331,1.55619,1.95351,2.02624,0.008812,0.008812,0.008812
14,301.227,1.53443,2.00627,1.8626,0.39103,0.45683,0.36798,0.19609,1.50377,2.08506,1.97438,0.008713,0.008713,0.008713
15,319.222,1.52216,1.90116,1.86945,0.45062,0.42033,0.40578,0.21026,1.58538,2.15478,2.03257,0.008614,0.008614,0.008614
16,337.206,1.52478,1.91558,1.83729,0.63237,0.50491,0.54173,0.31163,1.45127,1.71672,1.89579,0.008515,0.008515,0.008515
17,356.665,1.49438,1.97798,1.84806,0.64502,0.47761,0.55022,0.31129,1.41021,1.85122,1.88829,0.008416,0.008416,0.008416
18,378.65,1.46562,1.90389,1.80234,0.49645,0.52736,0.45273,0.23836,1.5506,2.25879,2.01795,0.008317,0.008317,0.008317
19,396.764,1.45813,1.87728,1.79429,0.47239,0.48259,0.43366,0.22561,1.52243,1.99001,1.97315,0.008218,0.008218,0.008218
