epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.9136,2.12049,5.07847,2.55657,0,0,0,0,nan,nan,nan,0.00325758,0.00325758,0.0706818
2,38.3557,2.26361,2.84071,2.78104,0.00026,0.04478,0.00012,4e-05,nan,nan,nan,0.00593841,0.00593841,0.0400293
3,54.4183,2.08814,2.67212,2.70069,0.00864,0.08458,0.0023,0.0007,4.26979,144.057,7.81244,0.00795924,0.00795924,0.00871682
4,70.6289,2.02416,2.57142,2.6548,0.34177,0.13433,0.15637,0.05583,2.01249,41.1292,3.63109,0.00703,0.00703,0.00703
5,86.7024,1.90182,2.38221,2.55513,0.28697,0.30846,0.23937,0.09852,1.80936,7.51287,2.54743,0.00604,0.00604,0.00604
6,102.697,1.84858,2.33697,2.48268,0.05563,0.27756,0.04055,0.01419,2.27471,3.60745,2.89489,0.00505,0.00505,0.00505
7,118.641,1.84407,2.27165,2.47923,0.03399,0.2619,0.02838,0.01169,2.00456,6.29625,3.08217,0.00406,0.00406,0.00406
8,134.485,1.74124,2.15,2.39514,0.42797,0.31267,0.31808,0.1485,1.75968,2.42484,2.4772,0.00307,0.00307,0.00307
9,150.451,1.70186,2.05941,2.35822,0.52331,0.39303,0.46009,0.2176,1.67771,1.93571,2.32223,0.00208,0.00208,0.00208
10,166.593,1.61079,1.9888,2.24632,0.4897,0.38806,0.44912,0.22024,1.63058,1.91984,2.25857,0.00109,0.00109,0.00109
